Company,Role,Email
Linjer Limited,Graphic Designer,
Linjer Limited,Data Analyst,
Linjer Limited,E-Commerce Operations Manager,
Linjer Limited,Business Analyst,
Wave Commerce,Business Associate (Business Development & Client Success),jobs+ba@wavecommerce.hk
Delivery Hero Food Hong Kong Limited,Sales Executive,hk_recruit@foodpanda.hk
Pattern Holdings Company Limited (栢藤控股有限公司),Management Trainee,grace.wong@patternasia.com
"Tencent Technology (Shenzhen) Co., Ltd. (腾讯科技（深圳）有限公司)",Product Manager（2025 Tencent GBA Youth Employment Programme）,
"Tencent Technology (Shenzhen) Co., Ltd. (腾讯科技（深圳）有限公司)",Business Analyst（2025 GBA Youth Employment Programme）,
"Tencent Technology (Shenzhen) Co., Ltd. (腾讯科技（深圳）有限公司)",Product Manager（IEG）,
"Tencent Technology (Shenzhen) Co., Ltd. (腾讯科技（深圳）有限公司)",Business Analyst（CDG）,
Linjer Limited,Customer Care Associate,
Linjer Limited,Business Analyst and Problem Solver,
Linjer Limited,Business Intelligence Management Trainee Program,
Linjer Limited,Creative Marketing Executive,
Linjer Limited,Customer Service Manager (E-Commerce),
Linjer Limited,Digital Designer,
Linjer Limited,Digital Marketing Analyst,
Linjer Limited,E-Commerce Management Trainee Program,
Linjer Limited,Influencer Marketing Management Trainee Program,
Linjer Limited,Marketing Associate,
Linjer Limited,Paid Marketing Manager,
Linjer Limited,Operations Associate,
Linjer Limited,Propose Your Own Role,
"Tencent Technology (Shenzhen) Co., Ltd. (腾讯科技（深圳）有限公司)",Company Secretarial Assistant/ Officer,
Aloha Group Limited,Digital Account Executive,info@alohaonline.asia
Wave Commerce,Client Success Associate,jobs+ba@wavecommerce.hk
Dropcases Limited,Graduate Trainee – Supply Chain,kirsten.ho@ev-lectron.com
Dropcases Limited,Marketing & Business Development Associate,kirsten.ho@ev-lectron.com
"Tencent Technology (Shenzhen) Co., Ltd. (腾讯科技（深圳）有限公司)",Associate Sales Representative [Sales Trainee Program - Based in Indonesia],
Amazon,Account Management and Business Development Graduate,
Amazon,Learning Associate,
Amazon,2025 Graduate E-Commerce Trainee Program - Retail Finance,
Hong Kong Technology Venture Company Limited,Assistant Quality Assurance Officer - Customer Service,
Hong Kong Technology Venture Company Limited,Graduate Trainee Program 2025,
Hong Kong Technology Venture Company Limited,Procurement & Logistics Clerk,
Hong Kong Technology Venture Company Limited,Assistant Supply Chain Officer,
Linjer Limited,Project Manager,
Linjer Limited,Marketing Associate,
Linjer Limited,Business Analyst and Problem Solver,
Linjer Limited,Supply Chain Analyst (no Chinese language needed),
Linjer Limited,Growth Marketing Associate / Paid Marketing Associate,
Linjer Limited,Digital Designer,
Linjer Limited,Digital Marketing Analyst,
Linjer Limited,Customer Service Manager (E-Commerce),
Linjer Limited,E-Commerce Operations Associate (Graduate),
Linjer Limited,International Expansion Manager,
Linjer Limited,Store Manager,
Linjer Limited,Paid Marketing Manager,
Linjer Limited,Operations Manager,
Linjer Limited,Business Intelligence Management Trainee Program,
Linjer Limited,Influencer Marketing Management Trainee Program,
Linjer Limited,E-Commerce Management Trainee Program,
"Shenzhen Tencent Information Technology Co., Ltd. (腾讯科技（深圳）有限公司)",2025 Global Campus Recruitment,
"Beijing Science and Technology Co., Three Fast (北京三快在线科技有限公司)",2025届应届春招,hejing41@meituan.com
"Beijing Science and Technology Co., Three Fast (北京三快在线科技有限公司)",美团2026届暑期转正实习,hejing41@meituan.com
YesStyle.com Limited,Software Development and System Analyst Graduate Trainee,ys-hr-ta@yesstyle.com
Wave Commerce,Full Stack Engineer,jobs+eng@wavecommerce.hk
Wave Commerce,Business Associate (Ecommerce / Digital Marketing),jobs+ba@wavecommerce.hk
Hong Kong Technology Venture Company Limited,HKTV Graduate Trainee + Summer Intern Recruitment 2025,
Shopee Singapore Private Limited,UI/UX Designer - Buyer & Marketing (2025 Fresh Graduates),
Shopee Singapore Private Limited,"UI/UX Designer - Chatbot / AI, Marketplace",
Shopee Singapore Private Limited,"Technical Product Manager, Marketplace Intelligence & Data (Campus Recruitment 2025)",
Shopee Singapore Private Limited,"Algorithm Engineer, Search - NLP (Campus Recruitment 2025)",
Shopee Singapore Private Limited,"Android Engineer, Marketplace Intelligence & Data (Campus Recruitment 2025)",
Shopee Singapore Private Limited,"Algorithm Engineer, Large Language Model (Campus Recruitment 2025)",
Shopee Singapore Private Limited,"Backend Engineer, Marketplace Buyer (Campus Recruitment 2025)",
Shopee Singapore Private Limited,"Backend Engineer, Marketplace Promotion (Campus Recruitment 2025)",
Shopee Singapore Private Limited,Backend Engineer - Shopee Tech Services (Campus Recruitment 2025),
Shopee Singapore Private Limited,"Data Analyst, Regional BI & Planning (Campus Hiring 2025)",
Shopee Singapore Private Limited,"Finance Analyst - FP&A, Regional BI & Planning (Campus Hiring 2025)",
Shopee Singapore Private Limited,Business Planning Analyst - Regional Cross Border,
Shopee Singapore Private Limited,"Market Growth Strategy Analyst, Cross Border",
Shopee Singapore Private Limited,"Acquisition Executive, SPX Express",
Shopee Singapore Private Limited,Business Development Executive - Marketplace (Fresh Graduates),
TikTok,TikTok Shop - Corporate Social Responsibility (CSR) Project Operation and Management - Vietnam,
Gojek,Strategy & Planning Associate,
Traveloka,Commercial Strategy and Growth Analyst,
Shopee,Fresh Graduate Recruitment - 2025 Intake,
Hong Kong Technology Venture Company Limited,Graduate Trainee Program 2025,
Hong Kong Technology Venture Company Limited,Procurement & Logistics Clerk,
Microware Technology Limited,AI News Editor,yhwang@microware1985.com
Microware Technology Limited,User Research Specialist,yhwang@microware1985.com
Microware Technology Limited,AI Product Business Development Specialist,yhwang@microware1985.com
Linjer Limited,Customer Service Manager (E-Commerce),
Linjer Limited,Digital Designer,
Linjer Limited,Digital Marketing Analyst,
Linjer Limited,Supply Chain Analyst (no Chinese language needed),
Linjer Limited,Growth Marketing Associate / Paid Marketing Associate,
Linjer Limited,Business Analyst and Problem Solver,
Linjer Limited,Internationalization Manager,
Linjer Limited,Marketing Associate,
Linjer Limited,E-Commerce Operations Associate (Graduate),
Linjer Limited,Project Manager,
Microware Technology Limited,AI Product Operations and Technical Support,yhwang@microware1985.com
Microware Technology Limited,Algorithm Engineer,yhwang@microware1985.com
Microware Technology Limited,AI Product Operations Manager,yhwang@microware1985.com
Microware Technology Limited,Back-End Developer,yhwang@microware1985.com
Microware Technology Limited,Front-End Developer,yhwang@microware1985.com
Microware Technology Limited,Digital Marketing Specialist,yhwang@microware1985.com
"SEGA Corporation (recruit via ""Beyond Technologies, Inc."")",Game Designer/ Programmer/ Artist,
Linjer Limited,Retail Development Winter Internship 2024-2025,
Galton Voysey Limited (Fail Ventures),Founder's Hiring Assistant,
"IEIT SYSTEMS Co., Ltd. (浪潮电子信息产业股份有限公司)",Thermal Design Engineer,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd. (浪潮电子信息产业股份有限公司)",System Modeling and Simulation Researcher,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd. (浪潮电子信息产业股份有限公司)",Storage System Performance Researcher,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd. (浪潮电子信息产业股份有限公司)",Global Supply Delivery Management Engineer,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd. (浪潮电子信息产业股份有限公司)",Global intelligent manufacturing engineer,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd. (浪潮电子信息产业股份有限公司)",Global Pre-sale Engineer,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd. (浪潮电子信息产业股份有限公司)",Software R&D Engineer,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd. (浪潮电子信息产业股份有限公司)",Global Sale Engineer,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd. (浪潮电子信息产业股份有限公司)",Software R&D Engineer,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd. (浪潮电子信息产业股份有限公司)",Hardware R&D engineer,qixiao01@ieisystem.com
"Inspur Group Co., Ltd. (浪潮集团有限公司)",Marketing,
Minerva Operations Limited,Merchandising Associate,
Minerva Operations Limited,Marketing Associate,
Minerva Operations Limited,Business Associate,
Minerva Operations Limited (Peak21),Business Intelligence Analyst,
Linjer Limited,Project Manager,
Linjer Limited,Marketing Associate,
Linjer Limited,Customer Service Manager (E-Commerce),
Linjer Limited,E-Commerce Operations Associate (Graduate),
Linjer Limited,Digital Designer,
Linjer Limited,Digital Marketing Analyst,
Linjer Limited,E-Commerce Management Trainee Program,
Linjer Limited,Growth Marketing Associate / Paid Marketing Associate,
Linjer Limited,Business Analyst and Problem Solver,
Linjer Limited,Supply Chain Analyst (no Chinese language needed),
Linjer Limited,Internationalization Manager,
"Inspur Group Co., Ltd. (浪潮集团有限公司)",Core Product R&D; Product R&D; Technical Support,
Alibaba International Digital Commerce Group,Alibaba International 2025 Fall Campus Recruitment Program,
Aloha Group Limited,Digital Account Executive,info@alohaonline.asia
Hong Kong Technology Venture Company Limited,Management Trainee 2025,
